id;tidak_baku;baku
3361;kncang;kencang
3362;kost;indekos
3363;terniayalah;teraniayalah
3364;takan;tidak akan
3365;tibo;tiba
3366;terkahir;terakhir
3367;terlebi;terlebih
3368;terapin;terapkan
3369;tahfis;tahfiz
3370;terakhirnyo;terakhirnya
3371;ternasuk;termasuk
3372;tenggi;tinggi
3373;tabayang;terbayang
3374;tabang;terbang
3375;standard;standar
3376;statusna;statusnya
3377;sport;olahraga
3378;sodara;suadara
3379;smoe;sampai
3380;sluruh;seluruh
3381;smakin;semakin
3382;speaker;pengeras suara
3383;stokarnya;kernetnya
3384;yranspostasp;transportasi
3385;ttg;tentang
3386;tujuanyo;tujuannya
3387;lansuang;langsung
3388;trasportasi;transportasi
3389;trasnportasi;transportasi
3390;transformasi;transformasi
3391;tulisannyo;tulisannya
3392;unek;uneg
3393;uneng;uneg
3394;udaahh;sudah
3395;umumya;umumnya
3396;udahlah;sudahlah
3397;qriskan;qris
3398;publiknyo;publiknya
3399;prosfinsi;provinsi
3400;rekomend;rekomendasi
3401;reader;pembaca
3402;response;respon
3403;pkrangan;pekarangan
3404;permasalahain;permasalahkan
3405;permasalahannya;permasalahnnya
3406;propinsi;provinsi
3407;poltekes;politeknik kesehatan
3408;seharusnyo;seharusnya
3409;shoopepay;shopeepay
3410;sebahagian;sebagian
3411;sabanyak;sebanyak
3412;sado;semua
3413;saatnyo;saatnya
3414;saharian;seharian
3415;sajuak;sejuk
3416;rncak;bagus
3417;saranin;menyarankan
3418;sdoalahan;semuanya
3419;sapanjang;sepanjang
3420;bnr;benar
3421;bnr2;benar benar
3422;bnsek;miskin
3423;betoniasasi;betonisasi
3424;biasany;biasanya
3425;besti;sahabat
3426;bropersinya;beroperasinya
3427;brngkat;berangkat
3428;emabg;memang
3429;budget;bujet
3430;bersihh;bersih
3431;qiris;qris
3432;berikutnyo;berikutnya
3433;bediri;berdiri
3434;berncana;berencana
3435;beroperasinnyo;beroperasinya
3436;bbm;bahan bakar minyak
3437;didlm;di dalam
3438;flazzz;flazz
3439;bekecek;omong
3440;dannnaik;dan naik
3441;barbadan;berbadan
3442;datangg;datang
3443;direbutin;memperebutkan
3444;diparuik;di perut
3445;dmasukkan;dimasukkan
3446;digratisin;digratiskan
3447;dimaafin;dimaafkan
3448;design;desain
3449;gabantu;tidak bantu
3450;difikirkan;dipikirkan
3451;dilewatin;dilewatkan
3452;dimanfaatin;dimanfaatkan
3453;denger;dengar
3454;depannyo;depannya
3455;dikit;sedikit
3456;ekonominyo;ekonominya
3457;control;kontrol
3458;chaslees;non tunai
3459;dualahnyo;semuanya
3460;dtarik;ditarik
3461;dsbny;dan sebagainya
3462;handsanitesirny;handsanitizernya
3463;announcement;pemberitahuan
3464;angkotpun;akutan umum pun
3465;hubungin;hubungi
3466;bamasuak;masuk
3467;atensiny;perhatiannya
3468;balakang;belakang
3469;bangku;kursi
3470;bainciak2;berdesakan
3471;bayarny;bayarnya
3472;sebenerny;sebenarnya
3473;ngampus;ke kampus
3474;nyambung;sambung
3475;pramuniaga;pramugara
3476;armadanyo;armadanya
3477;bukannyo;bukannya
3478;imambonjol;imam bonjol
3479;masyrakat;masyarakat
3480;dongg;dong
3481;dibungus;di bungus
3482;semooga;semoga
3483;numpang;tumpang
3484;kordinator;koordinator
3485;hubungannyo;hubungannya
3486;cpek;cepat
3487;cubadak;nangka
3488;atua;atur
